Decade,Precipitation,Location,Scenario,Tmin,Tmax
2080,511.16,Woodstock,RCP_4.5,13.49793478,24.77429348
2090,516.18,Woodstock,RCP_4.5,13.7825,24.48641304
1980,497.0888889,Exeter,RCP_4.5,10.53683575,21.0759058
1990,512.98,Exeter,RCP_4.5,11.365,21.56065217
2000,546.76,Exeter,RCP_4.5,11.22206522,21.32152174
2010,613.65,Exeter,RCP_4.5,11.8236413,22.01146739
2020,591.62,Exeter,RCP_4.5,12.5098913,23.01673913
2030,583.92,Exeter,RCP_4.5,12.92184783,23.23701087
2040,532.43,Exeter,RCP_4.5,13.54586957,24.14630435
2050,520.14,Exeter,RCP_4.5,13.79402174,24.38836957
2060,615.97,Exeter,RCP_4.5,14.03793478,24.32353261
2070,589.97,Exeter,RCP_4.5,14.27184783,24.88733696
2080,519.22,Exeter,RCP_4.5,14.16706522,24.79809783
2090,521.69,Exeter,RCP_4.5,14.48820652,25.18766304
1980,491.2222222,Fergus,RCP_4.5,9.733695652,20.0071256
1990,516.61,Fergus,RCP_4.5,10.47951087,20.50967391
2000,512.2,Fergus,RCP_4.5,10.40190217,20.31358696
2010,569.07,Fergus,RCP_4.5,11.00652174,21.02163043
2020,548.53,Fergus,RCP_4.5,11.6598913,21.91543478
2030,584.4,Fergus,RCP_4.5,12.03429348,22.09027174
2040,496.82,Fergus,RCP_4.5,12.57483696,22.88375
2050,521.47,Fergus,RCP_4.5,12.79744565,23.13195652
2060,620.04,Fergus,RCP_4.5,13.05755435,23.11690217
2070,600.25,Fergus,RCP_4.5,13.28961957,23.67744565
2080,490.48,Fergus,RCP_4.5,13.19532609,23.55858696
2090,499.72,Fergus,RCP_4.5,13.51978261,24.01293478
1980,498.1888889,Kempton,RCP_8.5,9.430736715,20.87101449
1990,487.27,Kempton,RCP_8.5,10.21467391,21.44972826
2000,522.04,Kempton,RCP_8.5,10.40608696,21.73581522
2010,458.36,Kempton,RCP_8.5,10.93152174,22.53978261
2020,522.43,Kempton,RCP_8.5,11.52570652,22.87217391
2030,517.11,Kempton,RCP_8.5,12.15853261,23.60277174
2040,497.53,Kempton,RCP_8.5,12.51527174,23.84891304
2050,511.54,Kempton,RCP_8.5,13.38423913,24.70842391
2060,473.84,Kempton,RCP_8.5,13.9263587,25.55353261
2070,513.63,Kempton,RCP_8.5,14.76820652,26.55168478
2080,487.74,Kempton,RCP_8.5,15.69711957,27.39668478
2090,507.07,Kempton,RCP_8.5,16.57380435,28.33972826
1980,479.3111111,St. Thomas,RCP_8.5,10.72886473,22.15477053
1990,539.75,St. Thomas,RCP_8.5,11.45516304,22.56179348
2000,524.62,St. Thomas,RCP_8.5,11.65347826,22.74445652
2010,542.15,St. Thomas,RCP_8.5,12.24684783,23.78146739
2020,525.53,St. Thomas,RCP_8.5,12.7176087,24.10766304
2030,469.51,St. Thomas,RCP_8.5,13.38141304,24.9898913
2040,516.08,St. Thomas,RCP_8.5,13.98016304,25.40163043
2050,568.04,St. Thomas,RCP_8.5,14.68695652,25.95222826
2060,550.45,St. Thomas,RCP_8.5,15.20826087,26.79461957
2070,484.07,St. Thomas,RCP_8.5,16.23570652,27.92956522
2080,503.19,St. Thomas,RCP_8.5,17.07418478,28.75211957
2090,572.08,St. Thomas,RCP_8.5,18.09945652,29.77847826
1980,481.5222222,Thorndale,RCP_8.5,9.933152174,19.75785024
1990,463.82,Thorndale,RCP_8.5,10.77978261,20.40456522
2000,483.52,Thorndale,RCP_8.5,10.95625,20.49918478
2010,450.68,Thorndale,RCP_8.5,11.8373913,21.82423913
2020,511.01,Thorndale,RCP_8.5,12.30505435,22.25228261
2030,502.18,Thorndale,RCP_8.5,13.26304348,23.08266304
2040,486.53,Thorndale,RCP_8.5,13.98815217,23.72896739
2050,496.69,Thorndale,RCP_8.5,14.91141304,24.84081522
2060,492.03,Thorndale,RCP_8.5,15.53994565,25.62858696
2070,537.39,Thorndale,RCP_8.5,16.95586957,27.1076087
2080,494.17,Thorndale,RCP_8.5,17.79951087,27.91570652
2090,464.03,Thorndale,RCP_8.5,18.72141304,28.97228261
1980,492.4444444,Timmins,RCP_8.5,5.122705314,17.98266908
1990,524.84,Timmins,RCP_8.5,5.852119565,18.70641304
2000,480.8,Timmins,RCP_8.5,6.235054348,18.95402174
2010,457.07,Timmins,RCP_8.5,6.764402174,19.9563587
2020,531.85,Timmins,RCP_8.5,7.210326087,19.97918478
2030,508.65,Timmins,RCP_8.5,8.05,20.6786413
2040,486.06,Timmins,RCP_8.5,8.321358696,21.19054348
2050,513.75,Timmins,RCP_8.5,9.361956522,22.15282609
2060,493.4,Timmins,RCP_8.5,10.23951087,23.33923913
2070,551.09,Timmins,RCP_8.5,10.88304348,23.91722826
2080,568.23,Timmins,RCP_8.5,11.87826087,24.97407609
2090,486.44,Timmins,RCP_8.5,12.80896739,26.23369565
1980,483.4333333,Woodstock,RCP_8.5,10.05960145,21.57747585
1990,508.97,Woodstock,RCP_8.5,10.77,21.98869565
2000,512.97,Woodstock,RCP_8.5,11.07880435,22.23391304
2010,536.16,Woodstock,RCP_8.5,11.64456522,23.26369565
2020,527.6,Woodstock,RCP_8.5,12.08418478,23.64195652
2030,491.32,Woodstock,RCP_8.5,12.73923913,24.47690217
2040,542.31,Woodstock,RCP_8.5,13.29565217,24.86907609
2050,554.94,Woodstock,RCP_8.5,14.01353261,25.40293478
2060,545.13,Woodstock,RCP_8.5,14.42336957,26.24152174
2070,553.39,Woodstock,RCP_8.5,15.35744565,27.22619565
2080,501.71,Woodstock,RCP_8.5,16.0936413,27.9473913
2090,567.87,Woodstock,RCP_8.5,16.82342391,28.69554348
1980,497.2111111,Exeter,RCP_8.5,,21.0759058
1990,512.97,Exeter,RCP_8.5,,21.56065217
2000,552.6,Exeter,RCP_8.5,,21.7961413
2010,515.87,Exeter,RCP_8.5,,22.84831522
2020,565.61,Exeter,RCP_8.5,,23.24521739
2030,508.85,Exeter,RCP_8.5,,24.00211957
2040,574.3,Exeter,RCP_8.5,,24.35663043
2050,535.46,Exeter,RCP_8.5,,25.1338587
2060,515.83,Exeter,RCP_8.5,,25.83788043
2070,552.42,Exeter,RCP_8.5,,26.86625
2080,501.94,Exeter,RCP_8.5,,27.66423913
2090,550.24,Exeter,RCP_8.5,,28.44554348
1980,491.3222222,Fergus,RCP_8.5,9.733695652,20.0071256
1990,516.66,Fergus,RCP_8.5,10.47951087,20.50967391
2000,518.25,Fergus,RCP_8.5,10.76836957,20.74679348
2010,511.11,Fergus,RCP_8.5,11.36625,21.7261413
2020,553.31,Fergus,RCP_8.5,11.80603261,22.12125
2030,546.86,Fergus,RCP_8.5,12.45048913,22.8036413
2040,563.33,Fergus,RCP_8.5,12.94972826,23.21706522
2050,534.97,Fergus,RCP_8.5,13.65201087,23.86125
2060,498.37,Fergus,RCP_8.5,14.09771739,24.59994565
2070,588.13,Fergus,RCP_8.5,14.99581522,25.45945652
2080,533.75,Fergus,RCP_8.5,15.67798913,26.17217391
2090,552.92,Fergus,RCP_8.5,16.37836957,26.94054348
1980,,Blyth,RCP_2.5,10.41479469,20.84728261
1990,,Blyth,RCP_2.5,10.20086957,20.22195652
2000,,Blyth,RCP_2.5,11.33211957,22.09418478
2010,,Blyth,RCP_2.5,11.30097826,21.56684783
2020,,Blyth,RCP_2.5,11.52494565,21.74021739
2030,,Blyth,RCP_2.5,12.10081522,22.44211957
2040,,Blyth,RCP_2.5,12.30630435,22.60994565
2050,,Blyth,RCP_2.5,12.44565217,23.22418478
2060,,Blyth,RCP_2.5,11.8523913,21.90858696
2070,,Blyth,RCP_2.5,12.12608696,22.34418478
2080,,Blyth,RCP_2.5,12.08070652,22.5473913
2090,,Blyth,RCP_2.5,11.90190217,22.21076087
1980,,Blyth,RCP_4.5,10.06455314,20.54945652
1990,,Blyth,RCP_4.5,10.93673913,21.11603261
2000,,Blyth,RCP_4.5,10.74467391,20.8651087
2010,,Blyth,RCP_4.5,11.41945652,21.57630435
2020,,Blyth,RCP_4.5,12.14326087,22.56086957
2030,,Blyth,RCP_4.5,12.56945652,22.79858696
2040,,Blyth,RCP_4.5,13.23021739,23.74967391
2050,,Blyth,RCP_4.5,13.51548913,24.05798913
2060,,Blyth,RCP_4.5,13.765,24.00179348
2070,,Blyth,RCP_4.5,13.99836957,24.54907609
2080,,Blyth,RCP_4.5,13.91266304,24.45086957
2090,,Blyth,RCP_4.5,14.2875,24.92353261
1980,,Blyth,RCP_8.5,10.06455314,20.54945652
1990,,Blyth,RCP_8.5,10.93673913,21.11603261
2000,,Blyth,RCP_8.5,11.17048913,21.34407609
2010,,Blyth,RCP_8.5,11.84125,22.40972826
2020,,Blyth,RCP_8.5,12.36217391,22.84288043
2030,,Blyth,RCP_8.5,13.07869565,23.60646739
2040,,Blyth,RCP_8.5,13.60467391,24.00467391
2050,,Blyth,RCP_8.5,14.44195652,24.86298913
2060,,Blyth,RCP_8.5,14.95130435,25.5923913
2070,,Blyth,RCP_8.5,15.9361413,26.59358696
2080,,Blyth,RCP_8.5,16.71945652,27.48858696
2090,,Blyth,RCP_8.5,17.59130435,28.35853261
